specializationCode,specialization
310801,акушер-гинеколог
310802,акушер-гинеколог цехового врачебного участка
310803,аллерголог-иммунолог
310804,анестезиолог-реаниматолог
310805,бактериолог
310806,вирусолог
310807,гастроэнтеролог
310808,гематолог
310809,генетик
310810,гериатр
310811,дезинфектолог
310812,дерматовенеролог
310813,детский кардиолог
310814,детский онколог
310815,детский уролог-андролог
310816,детский хирург
310817,детский эндокринолог
310818,диабетолог
310819,диетолог
310820,врач здравпункта
310821,инфекционист
310822,кардиолог
310823,врач клинической лабораторной диагностики
310824,клинический миколог
310825,клинический фармаколог
310826,колопроктолог
310827,косметолог
310828,лаборант
310829,лабораторный генетик
310830,лабораторный миколог
310831,врач мануальной терапии
310832,методист
310833,невролог
310834,нейрохирург
310835,неонатолог
310836,нефролог
310837,врач общей практики (семейный врач)
310838,онколог
310839,ортодонт
310840,остеопат
310841,оториноларинголог
310842,офтальмолог
310843,офтальмолог-протезист
310844,паразитолог
310845,патологоанатом
310846,педиатр
310847,педиатр городской (районный)
310848,педиатр участковый
310849,пластический хирург
310850,врач по авиационной и космической медицине
310851,врач по водолазной медицине
310852,врач по гигиене детей и подростков
310853,врач по гигиене питания
310854,врач по гигиене труда
310855,врач по гигиеническому воспитанию
310856,врач по коммунальной гигиене
310857,врач по лечебной физкультуре
310858,врач по медико-социальной экспертизе
310859,врач по медицинской профилактике
310860,врач по медицинской реабилитации
310861,врач по общей гигиене
310862,врач по паллиативной медицинской помощи
310863,врач по радиационной гигиене
310864,врач по рентгенэндоваскулярным диагностике и лечению
310865,врач по санитарно-гигиеническим лабораторным исследованиям
310866,врач по спортивной медицине
310867,врач приемного отделения
310868,профпатолог
310869,психиатр
310870,психиатр участковый
310871,психиатр детский
310872,психиатр детский участковый
310873,психиатр подростковый
310874,психиатр подростковый участковый
310875,психиатр-нарколог
310876,психиатр-нарколог участковый
310877,психотерапевт
310878,пульмонолог
310879,радиолог
310880,радиотерапевт
310881,ревматолог
310882,рентгенолог
310883,рефлексотерапевт
310884,сексолог
310885,сердечно-сосудистый хирург
310886,врач скорой медицинской помощи
310887,статистик
310888,стоматолог
310889,стоматолог детский
310890,стоматолог-ортопед
310891,стоматолог-терапевт
310892,стоматолог-хирург
310893,судебно-медицинский эксперт
310894,судебно-психиатрический эксперт
310895,сурдолог-оториноларинголог
310896,сурдолог-протезист
310897,терапевт
310898,терапевт подростковый
310899,терапевт участковый
310900,терапевт участковый цехового врачебного участка
310901,токсиколог
310902,торакальный хирург
310903,травматолог-ортопед
310904,трансфузиолог
310905,врач ультразвуковой диагностики
310906,уролог
310907,физиотерапевт
310908,фтизиатр
310909,фтизиатр участковый
310910,врач функциональной диагностики
310911,хирург
310912,челюстно-лицевой хирург
310913,эндокринолог
310914,эндоскопист
310915,эпидемиолог
