numberOfPlot,street,buildingCount
1,10-й Бронный переулок,6
1,10-й Камышенский переулок,0
1,10-й Трикотажный переулок,6
1,11-й Бронный переулок,2
1,улица 12 Декабря,1
1,12-й Бронный переулок,2
1,13-й Бронный переулок,3
1,14-й Бронный переулок,3
1,15-й Бронный переулок,7
1,16-й Бронный переулок,3
1,17-й Бронный переулок,1
1,18-й Бронный переулок,3
1,улица 1905 года,36
1,1-е Мочищенское шоссе,5
1,1-й переулок 6-й Пятилетки,1
1,1-й Алтайский переулок,1
1,1-й Амурский переулок,19
1,1-й Балластный переулок,7
1,1-й Бийский переулок,21
1,1-й Бронный переулок,0
1,1-й переулок Бурденко,0
1,1-й Вертковский переулок,3
1,1-й Гончарный переулок,3
1,1-й Горский переулок,1
1,переулок 1-й Гранатовый,1
1,1-й переулок Грекова,0
1,1-й Гэсстроевский переулок,11
1,1-й переулок Доватора,13
1,1-й жилой поселок Заельцовский Бор,1
1,1-й Зеленхозовский переулок,0
1,1-й Инюшенский переулок,2
1,1-й Кавказский переулок,18
1,1-й Калужский переулок,0
1,1-й Каменогорский переулок,38
1,1-й Камышенский переулок,2
1,улица 1-й Кирзавод,2
1,1-й Клубный переулок,0
1,1-й переулок Костычева,2
1,1-й Красногорский переулок,35
1,1-й Краснодонский переулок,5
1,1-й Красносельский проезд,20
1,1-й переулок Крашенинникова,5
1,1-й переулок Крупской,8
1,1-й Ландшафтный переулок,1
1,1-й переулок Мира,11
1,1-й переулок Немировича-Данченко,11
1,1-й Новаторский переулок,1
1,1-й Ольховский переулок,1
1,1-й Орловский переулок,0
1,1-й переулок Панфиловцев,39
1,1-й переулок Пархоменко,16
1,1-й Пермский переулок,0
1,1-й Петропавловский переулок,5
1,1-й переулок Плющихи,4
1,1-й Порт-Артурский переулок,71
1,1-й Порядковый переулок,2
1,1-й Почтовый переулок,1
1,тупик 1-й Профинтерна,1
1,1-й Рекордный переулок,1
1,1-й переулок Римского-Корсакова,10
1,1-й Светлановский тупик,4
1,1-й Северный переулок,0
1,1-й переулок Седова,0
1,1-й переулок Серафимовича,6
1,1-й Сивашский переулок,0
1,1-й Спринтерский переулок,2
1,1-й Ставропольский переулок,0
1,1-й переулок Станиславского,1
1,1-й Степной переулок,33
1,1-й Таганрогский переулок,2
1,1-й переулок Танкистов,60
1,1-й Телевизионный переулок,22
1,1-й Тихвинский переулок,0
1,1-й Трикотажный переулок,17
1,1-й Троллейный переулок,2
1,1-й переулок Успенского,1
1,1-й переулок Халтурина,21
1,1-й Хилокский переулок,2
1,1-й Часовой переулок,1
1,1-й Черкасский переулок,0
1,1-й Чукотский переулок,1
1,1-й переулок Шапошникова,25
1,1-й переулок Шевцовой,0
1,1-й Экскаваторный переулок,0
1,1-й Электронный переулок,2
1,1-й переулок Энтузиастов,1
1,1-я Андреевская улица,0
1,1-я Водонасосная улица,0
1,1-я Высотная улица,0
1,1-я Газовая улица,0
1,1-я Грузинская улица,7
1,1-я Грушевская улица,6
1,улица 1-я Ельцовка,2
1,1-я Инская улица,13
1,1-я Искитимская улица,6
1,улица 1-я Кирпичная Горка,1
1,1-я Клиническая улица,1
1,1-я Лодочная улица,0
1,1-я Механическая улица,10
1,1-я Новгородская улица,0
1,1-я улица Пестеля,2
1,1-я Подгорная улица,1
1,1-я Портовая улица,4
1,1-я Рабочая улица,1
1,1-я Ракитная улица,8
1,1-я Родниковая улица,34
1,1-я Садовая улица,1
1,улица 1-я Славгородская,1
1,1-я Сухарная улица,1
1,1-я Чулымская улица,16
1,1-я улица Шевцовой,30
1,1-я Шоссейная улица,7
1,1-я Юргинская улица,7
2,улица 20-го Партсъезда,6
2,улица 25 лет Октября,36
2,2-й Алтайский переулок,7
2,2-й Амурский переулок,27
2,2-й Балластный переулок,2
2,2-й переулок Бестужева,0
2,2-й Бийский переулок,22
