idcabinets,cabinetNumbers
1,100
2,101
3,102
4,103
5,104
6,105
7,106
8,107
9,108
10,109
11,110
12,111
13,112
14,113
15,114
16,115
17,116
18,117
19,118
20,119
21,120
22,121
23,122
24,123
25,124
26,125
27,126
28,127
29,128
30,129
31,130
32,131
33,132
34,133
35,134
36,135
37,200
38,201
39,202
40,203
41,204
42,205
43,206
44,207
45,208
46,209
47,210
48,211
49,212
50,213
51,214
52,215
53,216
54,217
55,218
56,219
57,220
58,221
59,222
60,223
61,224
62,225
63,226
64,227
65,228
66,229
67,230
68,231
69,232
70,233
71,234
72,235
73,300
74,301
75,302
76,303
77,304
78,305
79,306
80,307
81,308
82,309
83,310
84,311
85,312
86,313
87,314
88,315
89,316
90,317
91,318
92,319
93,320
94,321
95,322
96,323
97,324
98,325
99,326
100,327
101,328
102,329
103,330
104,331
105,332
106,333
107,334
108,335
109,400
110,401
111,402
112,403
113,404
114,405
115,406
116,407
117,408
118,409
119,410
120,411
121,412
122,413
123,414
124,415
125,416
126,417
127,418
128,419
129,420
130,421
131,422
132,423
133,424
134,425
135,426
136,427
137,428
138,429
139,430
140,431
141,432
142,433
143,434
144,435
145,500
146,501
147,502
148,503
149,504
150,505
151,506
152,507
153,508
154,509
155,510
156,511
157,512
158,513
159,514
160,515
161,516
162,517
163,518
164,519
165,520
166,521
167,522
168,523
169,524
170,525
171,526
172,527
173,528
174,529
175,530
176,531
177,532
178,533
179,534
180,535
181,600
182,601
183,602
184,603
185,604
186,605
187,606
188,607
189,608
190,609
191,610
192,611
193,612
194,613
195,614
196,615
197,616
198,617
199,618
200,619
201,620
202,621
203,622
204,623
205,624
206,625
207,626
208,627
209,628
210,629
211,630
212,631
213,632
214,633
215,634
216,635
217,700
218,701
219,702
220,703
221,704
222,705
223,706
224,707
225,708
226,709
227,710
228,711
229,712
230,713
231,714
232,715
233,716
234,717
235,718
236,719
237,720
238,721
239,722
240,723
241,724
242,725
243,726
244,727
245,728
246,729
247,730
248,731
249,732
250,733
251,734
252,735
